postcode,suburb
5440,FLORINA STATION
5374,HANSBOROUGH
5374,JULIA
5374,MOUNT MARY
5374,NEALES FLAT
5374,NGAPALA
5374,PEEP HILL
5440,MANUNDA STATION
5381,ROBERTSTOWN
5381,ROCKY PLAIN
5381,WORLDS END
5400,MAGDALA
5400,PINKERTON PLAINS
5400,WASLEYS
5400,WOOLSHEDS
5401,ALMA
5401,HAMLEY BRIDGE
5401,SALTER SPRINGS
5412,RIVERTON
5410,LINWOOD
5410,STOCKPORT
5411,GILES CORNER
5411,TARLEE
5412,RHYNIE
5413,MARRABEL
5412,WOOLSHED FLAT
5413,APOINGA
5413,BLACK SPRINGS
5417,LEIGHTON
5413,SADDLEWORTH
5413,STEELTON
5413,TARNMA
5413,TOTHILL BELT
5413,TOTHILL CREEK
5413,WATERLOO
5414,MANOORA
5415,MINTARO
5415,STANLEY
5416,FARRELL FLAT
5416,PORTER LAGOON
5417,BALAH
5417,BALDINA
5417,BOOBOROWIE
5417,BUNYUNG
5417,MONGOLATA
5440,WEEKEROO
5417,BURRA
5417,BURRA EASTERN DISTRICTS
5417,CANEGRASS
5417,DANGGALI
5417,FARAWAY HILL
5417,GLUEPOT
5417,GUM CREEK
5417,HANSON
5417,KOONOONA
5461,ERITH
5417,NORTH BOOBOROWIE
5417,OAKVALE STATION
5417,OLD KOOMOOLOO
5417,PARCOOLA
5417,PINE VALLEY STATION
5417,QUONDONG
5417,STURT VALE
5417,WARNES
5418,COLLINSVILLE
5418,MOUNT BRYAN
5440,MOUNT VICTOR STATION
5419,CANOWIE
5419,HALLETT
5419,MOUNT BRYAN EAST
5419,PINE CREEK
